

Starting up. (ID: cqd-aVuP) 01:03.34
---------------------
[01:03:34] cqd-aVuP MISC: Saved storyteller is 'healer'
[01:03:34] cqd-aVuP ADMIN: Loading jobban_rank
[01:03:34] cqd-aVuP ADMIN: jobban_keylist was empty
[01:03:34] cqd-aVuP ADMIN: Loading Banlist
[01:05:24] cqd-aVuP ADMIN: Sybil Alliman try find_inv_position a 14, but not have that slot!
[01:05:24] cqd-aVuP ADMIN: Sybil Alliman try find_inv_position a 11, but not have that slot!
[01:05:24] cqd-aVuP ADMIN: Sybil Alliman try find_inv_position a 13, but not have that slot!
[01:05:24] cqd-aVuP ADMIN: Sybil Alliman try find_inv_position a 12, but not have that slot!
[01:05:24] cqd-aVuP ADMIN: Zane Pinney try find_inv_position a 14, but not have that slot!
[01:05:24] cqd-aVuP ADMIN: Zane Pinney try find_inv_position a 11, but not have that slot!
[01:05:24] cqd-aVuP ADMIN: Zane Pinney try find_inv_position a 13, but not have that slot!
[01:05:24] cqd-aVuP ADMIN: Zane Pinney try find_inv_position a 12, but not have that slot!
[01:05:24] cqd-aVuP ADMIN: Reid Werner try find_inv_position a 14, but not have that slot!
[01:05:24] cqd-aVuP ADMIN: Reid Werner try find_inv_position a 11, but not have that slot!
[01:05:24] cqd-aVuP ADMIN: Reid Werner try find_inv_position a 13, but not have that slot!
[01:05:24] cqd-aVuP ADMIN: Reid Werner try find_inv_position a 12, but not have that slot!
[01:05:24] cqd-aVuP ADMIN: Brayden Laborde try find_inv_position a 14, but not have that slot!
[01:05:24] cqd-aVuP ADMIN: Brayden Laborde try find_inv_position a 11, but not have that slot!
[01:05:24] cqd-aVuP ADMIN: Brayden Laborde try find_inv_position a 13, but not have that slot!
[01:05:24] cqd-aVuP ADMIN: Brayden Laborde try find_inv_position a 12, but not have that slot!
[01:05:24] cqd-aVuP ADMIN: Rocco Stall try find_inv_position a 14, but not have that slot!
[01:05:24] cqd-aVuP ADMIN: Rocco Stall try find_inv_position a 11, but not have that slot!
[01:05:24] cqd-aVuP ADMIN: Rocco Stall try find_inv_position a 13, but not have that slot!
[01:05:24] cqd-aVuP ADMIN: Rocco Stall try find_inv_position a 12, but not have that slot!
[01:05:25] cqd-aVuP ADMIN: Sam Evans try find_inv_position a 14, but not have that slot!
[01:05:25] cqd-aVuP ADMIN: Sam Evans try find_inv_position a 11, but not have that slot!
[01:05:25] cqd-aVuP ADMIN: Sam Evans try find_inv_position a 13, but not have that slot!
[01:05:25] cqd-aVuP ADMIN: Sam Evans try find_inv_position a 12, but not have that slot!
[01:11:21] cqd-aVuP GAME: shooting_range loaded at at 197,11,20
[01:11:21] cqd-aVuP GAME: cargo_horizontal loaded at at 184,20,20
[01:11:24] cqd-aVuP GAME: armory_secure loaded at at 106,74,20
[01:11:25] cqd-aVuP GAME: shooting_range loaded at at 119,38,20
[01:11:29] cqd-aVuP GAME: surgery loaded at at 119,74,20
[01:11:32] cqd-aVuP GAME: mechbay loaded at at 98,148,21
[01:11:32] cqd-aVuP GAME: mechbay loaded at at 145,133,21
[01:11:32] cqd-aVuP GAME: storage loaded at at 138,81,21
[01:11:32] cqd-aVuP GAME: a lost roach loaded at at 12,80,21
[01:11:32] cqd-aVuP GAME: Medical supplies loaded at at 62,21,21
[01:11:32] cqd-aVuP GAME: freezer loaded at at 11,46,21
[01:11:33] cqd-aVuP GAME: library loaded at at 115,154,21
[01:11:33] cqd-aVuP GAME: library loaded at at 25,82,21
[01:11:33] cqd-aVuP GAME: barricades loaded at at 125,122,21
[01:11:33] cqd-aVuP GAME: hydro loaded at at 142,103,21
[01:11:33] cqd-aVuP GAME: cryo loaded at at 83,34,21
[01:11:33] cqd-aVuP GAME: toilet loaded at at 84,149,21
[01:11:33] cqd-aVuP GAME: hydro loaded at at 150,28,21
[01:11:33] cqd-aVuP GAME: barricades loaded at at 57,141,21
[01:11:33] cqd-aVuP GAME: cryo loaded at at 29,24,21
[01:11:34] cqd-aVuP GAME: cryo loaded at at 17,112,21
[01:11:34] cqd-aVuP GAME: anomalysci loaded at at 41,139,21
[01:11:34] cqd-aVuP GAME: storage loaded at at 133,29,21
[01:11:34] cqd-aVuP GAME: storage loaded at at 12,93,21
[01:11:34] cqd-aVuP GAME: catwalks loaded at at 86,131,21
[01:11:34] cqd-aVuP GAME: freezer loaded at at 29,54,21
[01:11:34] cqd-aVuP GAME: freezer loaded at at 144,152,21
[01:11:34] cqd-aVuP GAME: mechbay loaded at at 25,39,21
[01:11:34] cqd-aVuP GAME: storage loaded at at 45,29,21
[01:11:35] cqd-aVuP GAME: cryo loaded at at 111,29,21
[01:11:35] cqd-aVuP GAME: Medical supplies loaded at at 20,126,21
[01:11:35] cqd-aVuP GAME: anomalysci loaded at at 140,60,21
[01:11:35] cqd-aVuP GAME: cryo loaded at at 55,74,21
[01:11:35] cqd-aVuP GAME: mechbay loaded at at 96,36,21
[01:11:35] cqd-aVuP GAME: sm_core loaded at at 79,113,21
[01:11:35] cqd-aVuP GAME: anomaly loaded at at 158,119,20
[01:11:36] cqd-aVuP GAME: shooting_range loaded at at 119,65,20
[01:11:37] cqd-aVuP GAME: office loaded at at 67,74,20
[01:11:44] cqd-aVuP GAME: surgery loaded at at 171,119,20
[01:11:52] cqd-aVuP GAME: blocker loaded at at 106,128,20
[01:11:52] cqd-aVuP GAME: blocker loaded at at 119,128,20
[01:11:52] cqd-aVuP GAME: blocker loaded at at 132,128,20
[01:11:52] cqd-aVuP GAME: blocker loaded at at 145,128,20
[01:11:52] cqd-aVuP GAME: blocker loaded at at 171,128,20
[01:11:53] cqd-aVuP GAME: blocker loaded at at 184,128,20
[01:11:53] cqd-aVuP GAME: blocker loaded at at 15,119,20
[01:11:53] cqd-aVuP GAME: blocker loaded at at 41,119,20
[01:11:53] cqd-aVuP GAME: blocker loaded at at 54,119,20
[01:11:53] cqd-aVuP GAME: blocker loaded at at 67,119,20
[01:11:53] cqd-aVuP GAME: blocker loaded at at 80,119,20
[01:11:53] cqd-aVuP GAME: blocker loaded at at 119,119,20
[01:11:53] cqd-aVuP GAME: blocker loaded at at 132,119,20
[01:11:53] cqd-aVuP GAME: blocker loaded at at 145,119,20
[01:11:53] cqd-aVuP GAME: blocker loaded at at 184,119,20
[01:11:53] cqd-aVuP GAME: blocker loaded at at 197,119,20
[01:11:53] cqd-aVuP GAME: blocker loaded at at 2,110,20
[01:11:53] cqd-aVuP GAME: blocker loaded at at 15,110,20
[01:11:53] cqd-aVuP GAME: blocker loaded at at 28,110,20
[01:11:53] cqd-aVuP GAME: blocker loaded at at 41,110,20
[01:11:53] cqd-aVuP GAME: blocker loaded at at 54,110,20
[01:11:53] cqd-aVuP GAME: blocker loaded at at 67,110,20
[01:11:53] cqd-aVuP GAME: blocker loaded at at 80,110,20
[01:11:54] cqd-aVuP GAME: blocker loaded at at 93,110,20
[01:11:54] cqd-aVuP GAME: blocker loaded at at 119,110,20
[01:11:54] cqd-aVuP GAME: blocker loaded at at 132,110,20
[01:11:54] cqd-aVuP GAME: blocker loaded at at 145,110,20
[01:11:54] cqd-aVuP GAME: blocker loaded at at 184,110,20
[01:11:54] cqd-aVuP GAME: blocker loaded at at 197,110,20
[01:11:54] cqd-aVuP GAME: blocker loaded at at 2,101,20
[01:11:54] cqd-aVuP GAME: blocker loaded at at 15,101,20
[01:11:54] cqd-aVuP GAME: blocker loaded at at 28,101,20
[01:11:54] cqd-aVuP GAME: blocker loaded at at 41,101,20
[01:11:54] cqd-aVuP GAME: blocker loaded at at 54,101,20
[01:11:54] cqd-aVuP GAME: blocker loaded at at 67,101,20
[01:11:54] cqd-aVuP GAME: blocker loaded at at 80,101,20
[01:11:54] cqd-aVuP GAME: blocker loaded at at 2,92,20
[01:11:54] cqd-aVuP GAME: blocker loaded at at 15,92,20
[01:11:54] cqd-aVuP GAME: blocker loaded at at 28,92,20
[01:11:54] cqd-aVuP GAME: blocker loaded at at 41,92,20
[01:11:54] cqd-aVuP GAME: blocker loaded at at 54,92,20
[01:11:54] cqd-aVuP GAME: blocker loaded at at 67,92,20
[01:11:55] cqd-aVuP GAME: blocker loaded at at 80,92,20
[01:11:55] cqd-aVuP GAME: blocker loaded at at 93,92,20
[01:11:55] cqd-aVuP GAME: blocker loaded at at 2,83,20
[01:11:55] cqd-aVuP GAME: blocker loaded at at 15,83,20
[01:11:55] cqd-aVuP GAME: blocker loaded at at 28,83,20
[01:11:55] cqd-aVuP GAME: blocker loaded at at 41,83,20
[01:11:55] cqd-aVuP GAME: blocker loaded at at 54,83,20
